"old_tips","new_tips"
"Eugenia.victorinii_Oviedo.sn","Eugenia.victorinii"
"Eugenia.walkerae_Walker.95016","Eugenia.walkerae"
"Eugenia.websteri_Flickinger.2016J8","Eugenia.websteri"
"Eugenia.wentii_Holst.9421","Eugenia.wentii"
"Eugenia.woodburyana_Flickinger.126","Eugenia.woodburyana"
"Eugenia.woodii_Maurin.MvdB26","Eugenia.woodii"
"Eugenia.wynadensis_Rajkumar.310","Eugenia.wynadensis"
"Eugenia.zeyheri_Maurin.1800","Eugenia.zeyheri"
"Eugenia.zuccarinii_Brandao.159","Eugenia.zuccarinii"
"Eugenia.zuluensis_Abbott.9188","Eugenia.zuluensis"
"Feijoa.sellowiana_Lucas.205","Feijoa.sellowiana"
"Gossia.clusioides_Soewarto.14","Gossia.clusioides"
"Gossia.hillii_Belsham.78","Gossia.hillii"
"Gossia.inophloia_Belsham.79","Gossia.inophloia"
"Heteropyxis.natalensis_Wilson.1475","Heteropyxis.natalensis"
"Kanakomyrtus.dawsoniana_Vasconcelos.639","Kanakomyrtus.dawsoniana"
"Kania.eugenioides_Takeuchi.7068","Kania.eugenioides"
"Legrandia.concinna_RBGE.19990656","Legrandia.concinna"
"Lenwebbia.lasioclada_Bean.7113","Lenwebbia.lasioclada"
"Lenwebbia.prominens_Forster.40529","Lenwebbia.prominens"
"Leptospermum.scoparium_Lucas.284","Leptospermum.scoparium"
"Lophomyrtus.bullata_Merri.sn","Lophomyrtus.bullata"
"Lophomyrtus.obcordata_Maurin.90","Lophomyrtus.obcordata"
"Luma.apiculata_Lucas.208","Luma.apiculata"
"Luma.chequen_Landrum.7873","Luma.chequen"
"Melaleuca.alternifolia_Genome.MN310606","Melaleuca.alternifolia"
"Melaleuca.comboynensis_Lucas.206","Melaleuca.comboynensis"
"Melaleuca.leucadendra_LGC.00265","Melaleuca.leucadendra"
"Metrosideros.perforata_Lucas.209","Metrosideros.perforata"
"Metrosideros.rugosa_Grose.24","Metrosideros.rugosa"
"Metrosideros.stipularis_RBGE.19952370A","Metrosideros.stipularis"
"Metrosideros.tremuloides_Reynolds.175","Metrosideros.tremuloides"
"Mitrantia.bilocularis_Sankowsky.sn","Mitrantia.bilocularis"
"Mosiera.cabanasensis_Flickinger.33","Mosiera.cabanasensis"
"Mosiera.contrerasii_Salywon.sn","Mosiera.contrerasii"
"Mosiera.cuspidata_Salywon.1350","Mosiera.cuspidata"
"Mosiera.ehrenbergii_Landrum.7375","Mosiera.ehrenbergii"
"Mosiera.elliptica.subsp.insularis_Oviedo.sn","Mosiera.elliptica.subsp.insularis"
"Mosiera.gracilipes_Salywon.1300","Mosiera.gracilipes"
"Mosiera.havanensis_Oviedo.sn","Mosiera.havanensis"
"Mosiera.longipes_Salywon.1183","Mosiera.longipes"
"Mosiera.oonophylla_Oviedo.sn","Mosiera.oonophylla"
"Mosiera.ophiticola_Flickinger.56","Mosiera.ophiticola"
"Mosiera.wrightii_Flickinger.42","Mosiera.wrightii"
"Mosiera.xerophytica_Salywon.783","Mosiera.xerophytica"
"Mosiera.yamaniguensis_Flickinger.63","Mosiera.yamaniguensis"
"Myrceugenia.alpigena.var.fuliginea_Hatschbach.59697","Myrceugenia.alpigena.var.fuliginea"
"Myrceugenia.alpigena.var.longifolia_Harley.26218","Myrceugenia.alpigena.var.longifolia"
"Myrceugenia.alpigena_Lucas.167","Myrceugenia.alpigena"
"Myrceugenia.bananalensis_Faria.4049","Myrceugenia.bananalensis"
"Myrceugenia.brevipedicellata_Landrum.2830","Myrceugenia.brevipedicellata"
"Myrceugenia.campestris_Kummrow.2940","Myrceugenia.campestris"
